,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
2,36,a,b,us-west-1,us-west-1,370,370,1.0
3,36,a,b,us-east-1,us-east-1,99,99,1.0
4,36,frontend,a,us-west-1,us-west-1,370,370,1.0
5,36,frontend,a,us-east-1,us-east-1,99,99,1.0
6,36,SOURCE,frontend,XXXX,us-west-1,370,469,0.7889125799573561
7,36,SOURCE,frontend,XXXX,us-east-1,99,469,0.21108742004264391
0,37,b,c,us-west-1,us-west-1,401,401,1.0
1,37,b,c,us-east-1,us-west-1,98,98,1.0
2,37,a,b,us-west-1,us-west-1,401,401,1.0
3,37,a,b,us-east-1,us-east-1,97,97,1.0
4,37,frontend,a,us-west-1,us-west-1,401,401,1.0
5,37,frontend,a,us-east-1,us-east-1,97,97,1.0
6,37,SOURCE,frontend,XXXX,us-west-1,401,498,0.8052208835341366
7,37,SOURCE,frontend,XXXX,us-east-1,97,498,0.19477911646586346
0,38,b,c,us-west-1,us-west-1,360,360,1.0
1,38,b,c,us-east-1,us-west-1,114,114,1.0
2,38,a,b,us-west-1,us-west-1,359,359,1.0
3,38,a,b,us-east-1,us-east-1,114,114,1.0
4,38,frontend,a,us-west-1,us-west-1,359,359,1.0
5,38,frontend,a,us-east-1,us-east-1,114,114,1.0
6,38,SOURCE,frontend,XXXX,us-west-1,359,473,0.758985200845666
7,38,SOURCE,frontend,XXXX,us-east-1,114,473,0.24101479915433405
0,39,b,c,us-west-1,us-west-1,391,391,1.0
1,39,b,c,us-east-1,us-west-1,102,102,1.0
2,39,a,b,us-west-1,us-west-1,391,391,1.0
3,39,a,b,us-east-1,us-east-1,101,101,1.0
4,39,frontend,a,us-west-1,us-west-1,391,391,1.0
5,39,frontend,a,us-east-1,us-east-1,101,101,1.0
6,39,SOURCE,frontend,XXXX,us-west-1,391,492,0.7947154471544715
7,39,SOURCE,frontend,XXXX,us-east-1,101,492,0.20528455284552846
0,40,b,c,us-west-1,us-west-1,396,396,1.0
1,40,b,c,us-east-1,us-west-1,99,99,1.0
2,40,a,b,us-west-1,us-west-1,396,396,1.0
3,40,a,b,us-east-1,us-east-1,98,98,1.0
4,40,frontend,a,us-west-1,us-west-1,396,396,1.0
5,40,frontend,a,us-east-1,us-east-1,98,98,1.0
6,40,SOURCE,frontend,XXXX,us-west-1,396,494,0.8016194331983806
7,40,SOURCE,frontend,XXXX,us-east-1,98,494,0.19838056680161945
0,41,b,c,us-west-1,us-west-1,407,407,1.0
1,41,b,c,us-east-1,us-west-1,96,96,1.0
2,41,a,b,us-west-1,us-west-1,407,407,1.0
3,41,a,b,us-east-1,us-east-1,96,96,1.0
4,41,frontend,a,us-west-1,us-west-1,407,407,1.0
5,41,frontend,a,us-east-1,us-east-1,95,95,1.0
6,41,SOURCE,frontend,XXXX,us-west-1,407,502,0.8107569721115537
7,41,SOURCE,frontend,XXXX,us-east-1,95,502,0.1892430278884462
0,42,b,c,us-west-1,us-west-1,398,398,1.0
1,42,b,c,us-east-1,us-west-1,90,90,1.0
2,42,a,b,us-west-1,us-west-1,398,398,1.0
3,42,a,b,us-east-1,us-east-1,90,90,1.0
4,42,frontend,a,us-west-1,us-west-1,398,398,1.0
5,42,frontend,a,us-east-1,us-east-1,89,89,1.0
6,42,SOURCE,frontend,XXXX,us-west-1,398,487,0.8172484599589322
7,42,SOURCE,frontend,XXXX,us-east-1,89,487,0.18275154004106775
