,counter,src_svc,dst_svc,src_cid,dst_cid,flow,weight,total
0,34,frontend,a,us-east-1,us-east-1,400,0.7827788649706457,511
1,34,frontend,a,us-east-1,us-west-1,111,0.2172211350293542,511
2,34,frontend,a,us-west-1,us-west-1,100,1.0,100
3,34,b,c,us-east-1,us-west-1,-1,1.0,-1
4,34,a,b,us-east-1,us-east-1,-1,1.0,-1
5,34,b,c,us-west-1,us-west-1,-1,1.0,-1
6,34,a,b,us-west-1,us-west-1,-1,1.0,-1
0,35,frontend,a,us-east-1,us-east-1,400,0.6389776357827476,626
1,35,frontend,a,us-east-1,us-west-1,226,0.3610223642172524,626
2,35,frontend,a,us-west-1,us-west-1,99,1.0,99
3,35,b,c,us-east-1,us-west-1,-1,1.0,-1
4,35,a,b,us-east-1,us-east-1,-1,1.0,-1
5,35,b,c,us-west-1,us-west-1,-1,1.0,-1
6,35,a,b,us-west-1,us-west-1,-1,1.0,-1
0,36,frontend,a,us-east-1,us-east-1,400,0.6153846153846154,650
1,36,frontend,a,us-east-1,us-west-1,250,0.38461538461538464,650
2,36,frontend,a,us-west-1,us-west-1,100,1.0,100
3,36,b,c,us-east-1,us-west-1,-1,1.0,-1
4,36,a,b,us-east-1,us-east-1,-1,1.0,-1
5,36,b,c,us-west-1,us-west-1,-1,1.0,-1
6,36,a,b,us-west-1,us-west-1,-1,1.0,-1
0,37,frontend,a,us-east-1,us-east-1,400,0.6329113924050633,632
1,37,frontend,a,us-east-1,us-west-1,232,0.3670886075949367,632
2,37,frontend,a,us-west-1,us-west-1,98,1.0,98
3,37,b,c,us-east-1,us-west-1,-1,1.0,-1
4,37,a,b,us-east-1,us-east-1,-1,1.0,-1
5,37,b,c,us-west-1,us-west-1,-1,1.0,-1
6,37,a,b,us-west-1,us-west-1,-1,1.0,-1
0,38,frontend,a,us-east-1,us-east-1,400,0.6745362563237775,593
1,38,frontend,a,us-east-1,us-west-1,193,0.3254637436762226,593
2,38,frontend,a,us-west-1,us-west-1,111,1.0,111
3,38,b,c,us-east-1,us-west-1,-1,1.0,-1
4,38,a,b,us-east-1,us-east-1,-1,1.0,-1
5,38,b,c,us-west-1,us-west-1,-1,1.0,-1
6,38,a,b,us-west-1,us-west-1,-1,1.0,-1
0,39,frontend,a,us-east-1,us-east-1,400,0.6172839506172839,648
1,39,frontend,a,us-east-1,us-west-1,248,0.38271604938271603,648
2,39,frontend,a,us-west-1,us-west-1,101,1.0,101
3,39,b,c,us-east-1,us-west-1,-1,1.0,-1
