svc,region,podname,avg_latency,outbound_rps,time,time_millis,old-us-east-1,old-us-west-1,new-us-east-1,new-us-west-1
sslateingress-us-west-1,us-west-1,sgpvx,285,0,2024-09-08 00:18:30.041009,1725754710041,0.380000,0.570000,0.400000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,282,0,2024-09-08 00:18:45.047483,1725754725047,0.400000,0.540000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,310,0,2024-09-08 00:19:00.046894,1725754740046,0.420000,0.520000,0.400000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,293,0,2024-09-08 00:19:15.044128,1725754755044,0.400000,0.540000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,312,0,2024-09-08 00:19:30.044746,1725754770044,0.420000,0.520000,0.400000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,281,0,2024-09-08 00:19:45.044189,1725754785044,0.400000,0.540000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,325,0,2024-09-08 00:20:00.044827,1725754800044,0.420000,0.520000,0.400000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,301,0,2024-09-08 00:20:15.050153,1725754815050,0.400000,0.540000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,270,0,2024-09-08 00:20:30.049230,1725754830049,0.420000,0.520000,0.440000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,327,0,2024-09-08 00:20:45.054085,1725754845054,0.440000,0.500000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,313,0,2024-09-08 00:21:00.053224,1725754860053,0.420000,0.520000,0.440000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,322,0,2024-09-08 00:21:15.054635,1725754875054,0.440000,0.500000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,364,0,2024-09-08 00:21:30.059049,1725754890059,0.420000,0.520000,0.400000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,343,0,2024-09-08 00:21:45.058315,1725754905058,0.400000,0.540000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,295,0,2024-09-08 00:22:00.057919,1725754920057,0.420000,0.520000,0.440000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,369,0,2024-09-08 00:22:15.058340,1725754935058,0.440000,0.500000,0.420000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,342,0,2024-09-08 00:22:30.058261,1725754950058,0.29936305732484075,0.7006369426751592,0.310000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,357,0,2024-09-08 00:22:45.065395,1725754965065,0.40789473684210525,0.5921052631578947,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,434,0,2024-09-08 00:23:00.066561,1725754980066,0.3935018050541516,0.6064981949458483,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,329,0,2024-09-08 00:23:15.065901,1725754995065,0.38645418326693226,0.6135458167330677,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,296,0,2024-09-08 00:23:30.067322,1725755010067,0.4,0.6,0.420000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,382,0,2024-09-08 00:23:45.066453,1725755025066,0.3917910447761194,0.6082089552238806,0.370000,0.620000
