index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",5,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,103,597,0.17252931323283083
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",6,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,308,364,0.8461538461538461
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",6,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,56,364,0.15384615384615385
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",6,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,104,104,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",6,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,343,343,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",6,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,107,107,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",6,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,363,467,0.7773019271948608
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",6,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,104,467,0.22269807280513917
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",6,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,343,450,0.7622222222222222
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",6,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,107,450,0.23777777777777778
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",7,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,308,359,0.8579387186629527
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",7,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,51,359,0.14206128133704735
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",7,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,108,108,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",7,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,345,345,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",7,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,100,100,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",7,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,358,466,0.7682403433476395
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",7,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,108,466,0.2317596566523605
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",7,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,345,445,0.7752808988764045
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",7,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,100,445,0.2247191011235955
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",8,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,346,471,0.7346072186836518
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",8,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,125,471,0.2653927813163482
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",8,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,98,98,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",8,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,497,497,1.0
