index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart,XXXX,us-south-1,92,635,0.14488188976377953
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart,XXXX,us-east-1,79,635,0.12440944881889764
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart,XXXX,us-central-1,100,635,0.15748031496062992
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart,XXXX,us-west-1,364,635,0.573228346456693
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/empty')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/empty,XXXX,us-south-1,97,664,0.1460843373493976
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/empty')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/empty,XXXX,us-east-1,100,664,0.15060240963855423
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/empty')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/empty,XXXX,us-central-1,97,664,0.1460843373493976
"('SOURCE', 'XXXX', 'sslateingress@POST@/cart/empty')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/cart/empty,XXXX,us-west-1,370,664,0.5572289156626506
"('SOURCE', 'XXXX', 'sslateingress@POST@/setCurrency')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/setCurrency,XXXX,us-south-1,104,755,0.13774834437086092
"('SOURCE', 'XXXX', 'sslateingress@POST@/setCurrency')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/setCurrency,XXXX,us-east-1,91,755,0.1205298013245033
"('SOURCE', 'XXXX', 'sslateingress@POST@/setCurrency')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/setCurrency,XXXX,us-central-1,92,755,0.12185430463576159
"('SOURCE', 'XXXX', 'sslateingress@POST@/setCurrency')",23,SOURCE,sslateingress,SOURCE,sslateingress@POST@/setCurrency,XXXX,us-west-1,468,755,0.6198675496688741
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'cartservice@POST@/hipstershop.CartService/GetCart')",24,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-south-1,us-south-1,189,189,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'cartservice@POST@/hipstershop.CartService/GetCart')",24,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-east-1,us-east-1,101,101,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'cartservice@POST@/hipstershop.CartService/GetCart')",24,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-west-1,us-west-1,142,142,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",24,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-south-1,us-south-1,189,189,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",24,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-east-1,us-east-1,101,101,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",24,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-west-1,us-west-1,142,142,1.0
