,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
32,us-west-1,mc46a6,POST,/light,cdbc74914034d8070119f3962d2e2569,8145d382a7316b42,7d6f0a03191bcc79,7.0,8.0,1.0,1.0,1.0,-1,mc46a6@POST@/light:18446744073709551205|,mc46a6@POST@/light:75|
33,us-west-1,mc676c,POST,/light,cdbc74914034d8070119f3962d2e2569,9852c1824e161b47,7d6f0a03191bcc79,8.0,9.0,1.0,1.0,1.0,-1,mc676c@POST@/light:18446744073709551167|,mc676c@POST@/light:108|
34,us-west-1,s6f83,POST,/light,cdbc74914034d8070119f3962d2e2569,6646f6e0c0e49b05,0119f3962d2e2569,2.0,15.0,13.0,5.0,13.0,-1,s6f83@POST@/light:1|,s6f83@POST@/light:90|
35,us-west-1,mc01d6,POST,/light,cdbc74914034d8070119f3962d2e2569,d721967cee8c4982,7d6f0a03191bcc79,7.0,8.0,1.0,1.0,1.0,-1,mc01d6@POST@/light:18446744073709551162|,mc01d6@POST@/light:117|
36,us-west-1,mc660d,POST,/light,cdbc74914034d8070119f3962d2e2569,83f141e3b0030694,872f5bf52c274535,7.0,9.0,2.0,2.0,2.0,-1,mc660d@POST@/light:1|,mc660d@POST@/light:102|
37,us-west-1,mc12c6,POST,/light,cdbc74914034d8070119f3962d2e2569,2ccb572f450328e3,1fc7e700b7a7996c,9.0,10.0,1.0,1.0,1.0,-1,mc12c6@POST@/light:1|,mc12c6@POST@/light:93|
38,us-west-1,db3dd1,POST,/light,e104a8b99d5bc51529987d74db23905f,9bb07eb216321b7f,04ac24f049375246,6.0,8.0,2.0,2.0,2.0,-1,db3dd1@POST@/light:18446744073709551216|,db3dd1@POST@/light:261|
39,us-west-1,s6f83,POST,/light,e104a8b99d5bc51529987d74db23905f,5e814ca41f825d98,29987d74db23905f,2.0,14.0,12.0,2.0,12.0,-1,s6f83@POST@/light:1|,s6f83@POST@/light:288|
40,us-west-1,saaee,POST,/light,e104a8b99d5bc51529987d74db23905f,476301ea6ad16b75,5e814ca41f825d98,4.0,8.0,4.0,3.0,4.0,-1,saaee@POST@/light:18446744073709551209|,saaee@POST@/light:303|
41,us-west-1,mcc324,POST,/light,e104a8b99d5bc51529987d74db23905f,eda3b079d35feeff,c4fd8b0591a77dc9,7.0,8.0,1.0,1.0,1.0,-1,mcc324@POST@/light:18446744073709551205|,mcc324@POST@/light:291|
42,us-west-1,s222f,POST,/light,e104a8b99d5bc51529987d74db23905f,04ac24f049375246,5e814ca41f825d98,3.0,9.0,6.0,5.0,6.0,-1,s222f@POST@/light:18446744073709551226|,s222f@POST@/light:282|
43,us-west-1,mc12c6,POST,/light,e104a8b99d5bc51529987d74db23905f,43bb2616b96f031b,c4fd8b0591a77dc9,6.0,8.0,2.0,2.0,2.0,-1,mc12c6@POST@/light:18446744073709551210|,mc12c6@POST@/light:276|
44,us-west-1,sslateingress,POST,/light,e104a8b99d5bc51529987d74db23905f,29987d74db23905f,nan,0.0,15.0,15.0,3.0,15.0,-1,sslateingress@POST@/light:18446744073709551410|,sslateingress@POST@/light:162|
45,us-west-1,mc46a6,POST,/light,e104a8b99d5bc51529987d74db23905f,995beb7069d97fad,04ac24f049375246,6.0,7.0,1.0,1.0,1.0,-1,mc46a6@POST@/light:18446744073709551241|,mc46a6@POST@/light:258|
46,us-west-1,mc9653,POST,/light,e104a8b99d5bc51529987d74db23905f,ccd32125900f3726,5e814ca41f825d98,4.0,5.0,1.0,1.0,1.0,-1,mc9653@POST@/light:18446744073709551216|,mc9653@POST@/light:276|
47,us-west-1,mc676c,POST,/light,e104a8b99d5bc51529987d74db23905f,f9797dd33fe490e1,04ac24f049375246,4.0,5.0,1.0,1.0,1.0,-1,mc676c@POST@/light:18446744073709551226|,mc676c@POST@/light:270|
48,us-west-1,sd03b,POST,/light,e104a8b99d5bc51529987d74db23905f,c4fd8b0591a77dc9,2897c442b6f323f9,5.0,11.0,6.0,2.0,6.0,-1,sd03b@POST@/light:18446744073709551225|,sd03b@POST@/light:264|
49,us-west-1,db10bb,POST,/light,e104a8b99d5bc51529987d74db23905f,efa8be0482a27ce3,c4fd8b0591a77dc9,6.0,8.0,2.0,2.0,2.0,-1,db10bb@POST@/light:18446744073709551196|,db10bb@POST@/light:285|
50,us-west-1,db2af0,POST,/light,e104a8b99d5bc51529987d74db23905f,0972b28687059b69,476301ea6ad16b75,6.0,8.0,2.0,2.0,2.0,-1,db2af0@POST@/light:18446744073709551220|,db2af0@POST@/light:279|
51,us-west-1,mc59ee,POST,/light,e104a8b99d5bc51529987d74db23905f,e8f557eaf959fd57,476301ea6ad16b75,5.0,6.0,1.0,1.0,1.0,-1,mc59ee@POST@/light:1|,mc59ee@POST@/light:309|
52,us-west-1,mcd096,POST,/light,e104a8b99d5bc51529987d74db23905f,463ea49afdae87a9,c4fd8b0591a77dc9,6.0,7.0,1.0,1.0,1.0,-1,mcd096@POST@/light:18446744073709551244|,mcd096@POST@/light:264|
53,us-west-1,dbd1b5,POST,/light,e104a8b99d5bc51529987d74db23905f,4672bb18acbc9e5e,c4fd8b0591a77dc9,7.0,10.0,3.0,3.0,3.0,-1,dbd1b5@POST@/light:18446744073709551217|,dbd1b5@POST@/light:294|
54,us-west-1,s4dd6,POST,/light,e104a8b99d5bc51529987d74db23905f,2897c442b6f323f9,5e814ca41f825d98,3.0,13.0,10.0,4.0,10.0,-1,s4dd6@POST@/light:18446744073709551189|,s4dd6@POST@/light:297|
55,us-west-1,mc01d6,POST,/light,e104a8b99d5bc51529987d74db23905f,38fe0d53f4c8f204,04ac24f049375246,4.0,5.0,1.0,1.0,1.0,-1,mc01d6@POST@/light:18446744073709551219|,mc01d6@POST@/light:246|
56,us-west-1,mc660d,POST,/light,e104a8b99d5bc51529987d74db23905f,cfe0fff12b70448d,476301ea6ad16b75,5.0,6.0,1.0,1.0,1.0,-1,mc660d@POST@/light:18446744073709551207|,mc660d@POST@/light:282|
57,us-west-1,db2af0,POST,/light,8307a7b453283b90a970569fa066da44,68ade903a50f23b6,5295369e37344d1c,4.0,5.0,1.0,1.0,1.0,-1,db2af0@POST@/light:18446744073709551182|,db2af0@POST@/light:345|
58,us-west-1,mc12c6,POST,/light,8307a7b453283b90a970569fa066da44,5ceeca0b545d864e,0de6ce35e0b1fb8c,4.0,5.0,1.0,1.0,1.0,-1,mc12c6@POST@/light:18446744073709551181|,mc12c6@POST@/light:348|
59,us-west-1,mc46a6,POST,/light,8307a7b453283b90a970569fa066da44,a08b02b2cd70985d,a0a678d5f2697629,4.0,5.0,1.0,1.0,1.0,-1,mc46a6@POST@/light:18446744073709551215|,mc46a6@POST@/light:294|
60,us-west-1,s4dd6,POST,/light,8307a7b453283b90a970569fa066da44,aae77e5ae9837cee,a9be8be3c845557b,1.0,8.0,7.0,3.0,7.0,-1,s4dd6@POST@/light:18446744073709551215|,s4dd6@POST@/light:339|
