index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",35,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,459,546,0.8406593406593407
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",35,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,85,552,0.1539855072463768
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",35,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,467,552,0.8460144927536232
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",36,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,82,82,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",36,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,145,493,0.29411764705882354
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",36,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,348,493,0.7058823529411765
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",36,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,86,86,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",36,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,493,493,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",36,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,82,574,0.14285714285714285
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",36,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,492,574,0.8571428571428571
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",36,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,86,579,0.14853195164075994
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",36,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,493,579,0.8514680483592401
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",37,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,80,80,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",37,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,158,513,0.3079922027290448
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",37,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,355,513,0.6920077972709552
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",37,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,113,113,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",37,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,457,457,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",37,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,80,592,0.13513513513513514
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",37,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,512,592,0.8648648648648649
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",37,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,113,570,0.19824561403508772
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",37,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,457,570,0.8017543859649123
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",38,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,112,112,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",38,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,116,465,0.24946236559139784
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",38,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,349,465,0.7505376344086021
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",38,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,91,91,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",38,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,480,480,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",38,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,112,576,0.19444444444444445
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",38,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,464,576,0.8055555555555556
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",38,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,91,571,0.159369527145359
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",38,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,480,571,0.840630472854641
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",39,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,81,81,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",39,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,142,488,0.29098360655737704
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",39,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,346,488,0.7090163934426229
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",39,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,108,108,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",39,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,472,472,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",39,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,81,568,0.1426056338028169
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",39,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,487,568,0.8573943661971831
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",39,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,108,580,0.18620689655172415
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",39,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,472,580,0.8137931034482758
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",40,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,99,99,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",40,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,132,482,0.27385892116182575
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",40,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,350,482,0.7261410788381742
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",40,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,92,92,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",40,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,469,469,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",40,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,99,580,0.1706896551724138
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",40,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,481,580,0.8293103448275863
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",40,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,92,561,0.16399286987522282
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",40,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,469,561,0.8360071301247772
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",41,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,86,86,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",41,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,134,477,0.2809224318658281
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",41,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,343,477,0.7190775681341719
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",41,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,100,100,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",41,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,425,425,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",41,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,86,562,0.15302491103202848
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",41,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,476,562,0.8469750889679716
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",41,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,100,525,0.19047619047619047
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",41,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,425,525,0.8095238095238095
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",42,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,93,93,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",42,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,107,438,0.24429223744292236
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",42,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,331,438,0.7557077625570776
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",42,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,105,105,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",42,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,418,418,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",42,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,93,530,0.17547169811320754
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",42,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,437,530,0.8245283018867925
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",42,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,105,523,0.20076481835564053
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",42,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,418,523,0.7992351816443595
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",43,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,100,100,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",43,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,92,418,0.22009569377990432
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",43,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,326,418,0.7799043062200957
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",43,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,97,97,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",43,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,504,504,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",43,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,100,517,0.19342359767891681
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",43,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,417,517,0.8065764023210832
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",43,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,97,601,0.16139767054908485
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",43,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,504,601,0.8386023294509152
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",44,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,92,92,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",44,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,131,477,0.2746331236897275
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",44,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,346,477,0.7253668763102725
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",44,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,89,89,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",44,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,524,524,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",44,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,92,568,0.1619718309859155
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",44,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,476,568,0.8380281690140845
